TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
TRMK,RU000A0B6NK6,"Публичное акционерное общество ""Трубная Металлургическая Компания""",1033135366,Второй уровень,Акция обыкновенная,акции обыкновенные
UGLD,RU000A0JPP37,"Публичное акционерное общество ""Южуралзолото Группа Компаний""",212827273000,Второй уровень,Акция обыкновенная,акции обыкновенные
ASTR,RU000A106T36,Публичное акционерное общество Группа Астра,210000000,Второй уровень,Акция обыкновенная,акции обыкновенные
VSMO,RU0009100291,"публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""",11529538,Второй уровень,Акция обыкновенная,акции обыкновенные
RDRB,RU000A0JU6Q7,"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)",21472741,Третий уровень,Акция обыкновенная,акции обыкновенные
QIWI,US74735M1080,QIWI PLC (эмитент депозитарных расписок - The Bank of New York Mellon),,Третий уровень,Депозитарные расписки иностранного эмитента на акции,"Американские депозитарные акции, удостоверяющие права в отношении акций класса ""Б"" компании QIWI PLC"
AVAN,RU000A0DM7B3,"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество",80700000,Третий уровень,Акция обыкновенная,акции обыкновенные
KZOS,RU0009089825,"Казанское публичное акционерное общество ""Органический синтез""",1785114000,Третий уровень,Акция обыкновенная,акции обыкновенные
KZOSP,RU0006753456,"Казанское публичное акционерное общество ""Органический синтез""",119596000,Третий уровень,Акция привилегированная,акции привилегированные
LNZL,RU000A0JP1N2,"Ленское золотодобывающее публичное акционерное общество ""Лензолото""",1140300,Третий уровень,Акция обыкновенная,акции обыкновенные
LNZLP,RU000A0JP1P7,"Ленское золотодобывающее публичное акционерное общество ""Лензолото""",347700,Третий уровень,Акция привилегированная,акции привилегированные
BLNG,RU000A0J2QG8,"Открытое акционерное общество ""Белон""",1150000000,Третий уровень,Акция обыкновенная,акции обыкновенные
DZRD,RU000A0JQW11,"Открытое акционерное общество ""Донской завод радиодеталей""",343407,Третий уровень,Акция обыкновенная,акции обыкновенные
DZRDP,RU000A0JQW29,"Открытое акционерное общество ""Донской завод радиодеталей""",114469,Третий уровень,Акция привилегированная,акции привилегированные
LPSB,RU000A0D8MR7,"Открытое акционерное общество ""Липецкая энергосбытовая компания""",155521950,Третий уровень,Акция обыкновенная,акции обыкновенные
MGNZ,RU0009100911,"Открытое акционерное общество ""Соликамский магниевый завод""",398272,Третий уровень,Акция обыкновенная,акции обыкновенные
BSPBP,RU000A0JP0U9,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",20100000,Третий уровень,Акция привилегированная,акции привилегированные
NKNC,RU0009100507,"Публичное Акционерное Общество ""Нижнекамскнефтехим""",1611256000,Третий уровень,Акция обыкновенная,акции обыкновенные
NKNCP,RU0006765096,"Публичное Акционерное Общество ""Нижнекамскнефтехим""",218983750,Третий уровень,Акция привилегированная,акции привилегированные
GEMA,RU000A100GC7,"Публичное акционерное общество  ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""",14929920,Третий уровень,Акция обыкновенная,акции обыкновенные
KLVZ,RU000A107KX0,"Публичное акционерное общество ""АЛКОГОЛЬНАЯ ГРУППА КРИСТАЛЛ""",921052700,Третий уровень,Акция обыкновенная,акции обыкновенные
ACKO,RU000A0JXS91,"Публичное акционерное общество ""АСКО""",536000000,Третий уровень,Акция обыкновенная,акции обыкновенные
ABRD,RU000A0JS5T7,"Публичное акционерное общество ""Абрау – Дюрсо""",98000184,Третий уровень,Акция обыкновенная,акции обыкновенные
UTAR,RU0007661385,"Публичное акционерное общество ""Авиакомпания ""ЮТэйр""",7896123268,Третий уровень,Акция обыкновенная,акции обыкновенные
BANE,RU0007976957,"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""",147846489,Третий уровень,Акция обыкновенная,акции обыкновенные
BANEP,RU0007976965,"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""",29788012,Третий уровень,Акция привилегированная,акции привилегированные
ASSB,RU000A0D8MM8,"Публичное акционерное общество ""Астраханская энергосбытовая компания""",773900078,Третий уровень,Акция обыкновенная,акции обыкновенные
AMEZ,RU000A0B88G6,"Публичное акционерное общество ""Ашинский металлургический завод""",498454822,Третий уровень,Акция обыкновенная,акции обыкновенные
USBN,RU0006929536,"Публичное акционерное общество ""БАНК УРАЛСИБ""",360134697357,Третий уровень,Акция обыкновенная,акции обыкновенные
BISVP,RU0009100176,"Публичное акционерное общество ""Башинформсвязь""",36165270,Третий уровень,Акция привилегированная,акции привилегированные
BRZL,RU0009288658,"Публичное акционерное общество ""Бурятзолото""",7027270,Третий уровень,Акция обыкновенная,акции обыкновенные
VLHZ,RU0007984761,"Публичное акционерное общество ""Владимирский химический завод""",5005605,Третий уровень,Акция обыкновенная,акции обыкновенные
VGSB,RU000A0D8L73,"Публичное акционерное общество ""Волгоградэнергосбыт""",319595965,Третий уровень,Акция обыкновенная,акции обыкновенные
VGSBP,RU000A0D8L57,"Публичное акционерное общество ""Волгоградэнергосбыт""",80499134,Третий уровень,Акция привилегированная,акции привилегированные
VSYD,RU0006334372,"Публичное акционерное общество ""Выборгский судостроительный завод""",1891250,Третий уровень,Акция обыкновенная,акции обыкновенные
VSYDP,RU0006334380,"Публичное акционерное общество ""Выборгский судостроительный завод""",51839,Третий уровень,Акция привилегированная,акции привилегированные
GAZA,RU0009034268,"Публичное акционерное общество ""ГАЗ""",18520260,Третий уровень,Акция обыкновенная,акции обыкновенные
