TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
GECO,RU000A105BN4,"Публичное акционерное общество ""Центр Генетики и Репродуктивной Медицины ""ГЕНЕТИКО""",83000000,Третий уровень,Акция обыкновенная,акции обыкновенные
WTCM,RU0008137070,"Публичное акционерное общество ""Центр международной торговли""",1083000000,Третий уровень,Акция обыкновенная,акции обыкновенные
WTCMP,RU0008137088,"Публичное акционерное общество ""Центр международной торговли""",162000000,Третий уровень,Акция привилегированная,акции привилегированные
CNTL,RU0007665147,"Публичное акционерное общество ""Центральный телеграф""",166167000,Третий уровень,Акция обыкновенная,акции обыкновенные
CNTLP,RU0007665139,"Публичное акционерное общество ""Центральный телеграф""",55389000,Третий уровень,Акция привилегированная,акции привилегированные
PRFN,RU000A0JNXF9,"Публичное акционерное общество ""Челябинский завод профилированного стального настила""",838287450,Третий уровень,Акция обыкновенная,акции обыкновенные
CHKZ,RU000A0JNST0,"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""",600216,Третий уровень,Акция обыкновенная,акции обыкновенные
CHMK,RU0007665170,"Публичное акционерное общество ""Челябинский металлургический комбинат""",3161965,Третий уровень,Акция обыкновенная,акции обыкновенные
ELTZ,RU000A0B66V1,"Публичное акционерное общество ""Электроцинк""",1404308,Третий уровень,Акция обыкновенная,акции обыкновенные
UNKL,RU0004887991,"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""",599737,Третий уровень,Акция обыкновенная,акции обыкновенные
IRKT,RU0006752979,"Публичное акционерное общество ""Яковлев""",11686422311,Третий уровень,Акция обыкновенная,акции обыкновенные
YAKG,RU0007796819,"Публичное акционерное общество ""Якутская топливно-энергетическая компания""",826919375,Третий уровень,Акция обыкновенная,акции обыкновенные
YKEN,RU0009257075,"Публичное акционерное общество ""Якутскэнерго""",10187741424,Третий уровень,Акция обыкновенная,акции обыкновенные
YKENP,RU0007796827,"Публичное акционерное общество ""Якутскэнерго""",1332635125,Третий уровень,Акция привилегированная,акции привилегированные
KUZB,RU000A0JSQ66,"Публичное акционерное общество Банк ""Кузнецкий""",22503490875,Третий уровень,Акция обыкновенная,акции обыкновенные
TNSE,RU000A0JUCQ5,"Публичное акционерное общество Группа компаний ""ТНС энерго""",13668239,Третий уровень,Акция обыкновенная,акции обыкновенные
DIOD,RU000A0JQWC1,"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""",91500000,Третий уровень,Акция обыкновенная,акции обыкновенные
NAUK,RU000A0JRPX9,"Публичное акционерное общество Научно-производственное объединение ""Наука""",11789500,Третий уровень,Акция обыкновенная,акции обыкновенные
OMZZP,RU0009090559,Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора),2750000,Третий уровень,Акция привилегированная,акции привилегированные
ROSB,RU000A0HHK26,Публичное акционерное общество РОСБАНК,1551401853,Третий уровень,Акция обыкновенная,акции обыкновенные
RGSS,RU0008010855,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",489503740915,Третий уровень,Акция обыкновенная,акции обыкновенные
KCHE,RU0006753498,"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""",58294409860,Третий уровень,Акция обыкновенная,акции обыкновенные
KCHEP,RU0006753480,"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""",183062052,Третий уровень,Акция привилегированная,акции привилегированные
MAGE,RU0006758919,"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""",463838268,Третий уровень,Акция обыкновенная,акции обыкновенные
MAGEP,RU0006758893,"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""",145673254,Третий уровень,Акция привилегированная,акции привилегированные
SAGO,RU0009098255,"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""",3538928532,Третий уровень,Акция обыкновенная,акции обыкновенные
SAGOP,RU0009084495,"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""",521993080,Третий уровень,Акция привилегированная,акции привилегированные
SLEN,RU0009280465,"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""",1237175444,Третий уровень,Акция обыкновенная,акции обыкновенные
PRMB,RU000A0DPNQ5,"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)",250000,Третий уровень,Акция обыкновенная,акции обыкновенные
KMEZ,RU0006753613,"публичное акционерное общество ""Ковровский механический завод""",3764600,Третий уровень,Акция обыкновенная,акции обыкновенные
ARSA,RU000A0JP0Q7,"публичное акционерное общество ""Управляющая компания ""Арсагера""",123817165,Третий уровень,Акция обыкновенная,акции обыкновенные
